Reference,Value,Package,Quantity,Part Number,Supplier,Unit Price (CNY),Total Price (CNY)
"C1,C2",10uF,0805,2,C0805X5R1V106K030BC,立创商城,0.0500,0.10
"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C30,C31,C32",0.1uF,0603,18,C0603X5R1V104K030BC,立创商城,0.0200,0.36
"R1,R2",10k,0603,2,R0603-10K,立创商城,0.0050,0.01
"R3,R4",4.7k,0603,2,R0603-4.7K,立创商城,0.0050,0.01
"R5,R6",1k,0603,2,R0603-1K,立创商城,0.0050,0.01
"R7,R8",470,0603,2,R0603-470,立创商城,0.0050,0.01
U2,LM1117-3.3,SOT-223,1,LM1117-3.3-SOT223,立创商城,0.5000,0.50
U1,STM32F103C8T6,LQFP48,1,STM32F103C8T6-LQFP48,立创商城,8.5000,8.50
X1,8MHz,SMD,1,ECS-80-18-5PX-TR,立创商城,0.3000,0.30
X2,32.768kHz,SMD,1,ABS07-32.768KHZ-T,立创商城,0.2000,0.20
USB1,USB-B,SMD,1,USB-B-SMD,立创商城,0.8000,0.80
LED1,Red,0603,1,LED0603-R,立创商城,0.0100,0.01
LED2,Green,0603,1,LED0603-G,立创商城,0.0100,0.01
SW1,Tactile,SMD,1,TS-1185A-B-A-B,立创商城,0.0500,0.05
J1,Header-2x5,SMD,1,HDR-2X5-SMD,立创商城,0.1000,0.10
J2,Header-1x4,SMD,1,HDR-1X4-SMD,立创商城,0.0500,0.05
